MEM driver,NIOM driver,MEM no driver,NIOM no driver
-0.018000000000000002,-30.015,-0.0008,-70.875
-0.005,-26.041999999999998,0.0064,-70.357
-0.0017,-22.269000000000002,0.0124,-69.929
-0.0106,-18.72,0.0066,-69.562
-0.0098,-15.425999999999998,0.0001,-69.328
-0.0019,-12.444,0.0026,-69.186
-0.0041,-9.7095,0.0057,-68.874
-0.0121,-7.1119,0.0024,-68.18
-0.0129,-4.5164,0.0005,-67.081
-0.005,-1.9201,0.0083,-65.624
-0.002,0.48623,0.0134,-63.87
-0.0107,2.5951,0.0028,-61.978
-0.0172,4.3166,-0.009000000000000001,-60.023
-0.0135,5.6311,-0.0088,-57.897
-0.0106,6.7073,-0.0067,-55.623999999999995
-0.0147,7.6153,-0.0095,-53.449
-0.0203,8.3854,-0.0158,-51.427
-0.0167,9.0841,-0.0172,-49.369
-0.0063,9.6166,-0.0039,-47.12
-0.009000000000000001,9.9698,0.0045,-44.736999999999995
-0.0214,10.267999999999999,-0.0073,-42.332
-0.0177,10.505,-0.0126,-39.669000000000004
-0.0029,10.53,0.0007,-36.736999999999995
-0.003,10.305,0.0056,-33.751
-0.0152,9.9965,-0.0072,-30.69400000000001
-0.0165,9.6932,-0.016,-27.579
-0.0049,9.3705,-0.0071,-24.441
-0.0032,9.1793,0.0021,-21.493000000000002
-0.0188,9.1988,-0.009000000000000001,-18.899
-0.0268,9.2109,-0.0238,-16.468
-0.0149,9.113999999999999,-0.0206,-14.16
-0.0052,8.9043,-0.0125,-12.03
-0.0118,8.5017,-0.016,-9.9883
-0.0213,7.9529999999999985,-0.0249,-8.0734
-0.0162,7.3792,-0.0249,-6.2586
-0.0037,6.7958,-0.0131,-4.4232
-0.0055,6.1601,-0.0054,-2.6039999999999996
-0.0158,5.5205,-0.0105,-0.87513
-0.0137,4.9646,-0.0146,0.77782
-0.005,4.4239,-0.0082,2.3912
-0.004,3.8235,-0.0006,3.8838
-0.0089,3.1487,-0.0042,5.1376
-0.0089,2.3826,-0.0143,6.2802
0.0,1.58,-0.0104,7.5658
0.0038,0.75452,0.0025,8.9838
-0.0073,-0.10919000000000001,-0.0025,10.296
-0.016,-0.9710700000000001,-0.0178,11.331
-0.0099,-1.8352,-0.0183,12.197000000000001
-0.0037,-2.8143,-0.0111,13.093
-0.0071,-3.9636,-0.0098,13.899000000000001
